ymd	sime	jyocd	raceno	description	pattern	bettype	predict_rank123	result_rank123	bet_kumiban	bet_odds	bet_oddsrank	result_kumiban	result_odds	result_oddsrank	result_amt	hity	hitn	betamt	hitamt
20180102	1709	01	5	0013	1_B1	1T	123	342	1	0.00	0	3	2.40	2	240	0	1	100	0
20180102	1052	24	1	0013	1_B1	1T	132	123	1	0.00	0	1	1.20	1	120	1	0	100	120
20180102	1101	16	2	0013	1_B1	1T	145	143	1	0.00	0	1	1.39	1	140	1	0	100	140
20180102	1116	12	2	0013	1_B1	1T	131	235	1	0.00	0	2	3.00	2	300	0	1	100	0
20180102	1122	24	2	0013	1_B1	1T	124	235	1	0.00	0	2	6.90	3	690	0	1	100	0
20180102	1143	12	3	0013	1_B1	1T	142	146	1	0.00	0	1	1.89	2	190	1	0	100	190
20180102	1153	24	3	0013	1_B1	1T	124	213	1	0.00	0	2	2.59	3	260	0	1	100	0
20180102	1158	16	4	0013	1_B1	1T	124	145	1	0.00	0	1	1.10	1	110	1	0	100	110
20180102	1212	12	4	0013	1_B1	1T	152	146	1	0.00	0	1	1.79	1	180	1	0	100	180
20180102	1225	24	4	0013	1_B1	1T	152	152	1	0.00	0	1	1.29	1	130	1	0	100	130
20180102	1228	16	5	0013	1_B1	1T	134	154	1	0.00	0	1	1.00	2	100	1	0	100	100
20180102	1329	16	7	0013	1_B1	1T	136	132	1	0.00	0	1	1.00	1	100	1	0	100	100
20180102	1341	12	7	0013	1_B1	1T	134	453	1	0.00	0	4	2.20	2	220	0	1	100	0
20180102	1509	24	9	0013	1_B1	1T	134	136	1	0.00	0	1	2.50	1	250	1	0	100	250
20180102	1548	01	2	0013	1_B1	1T	124	134	1	0.00	0	1	2.70	2	270	1	0	100	270
20180102	1615	01	3	0013	1_B1	1T	125	541	1	0.00	0	5	2.90	2	290	0	1	100	0
20180102	1642	01	4	0013	1_B1	1T	124	324	1	0.00	0	3	2.20	2	220	0	1	100	0
20180102	1909	01	9	0013	1_B1	1T	115	246	1	0.00	0	2	1.60	1	160	0	1	100	0
20180103	1105	11	2	0013	1_B1	1T	116	412	1	0.00	0	4	3.09	3	310	0	1	100	0
20180103	1114	22	2	0013	1_B1	1T	126	126	1	0.00	0	1	2.40	1	240	1	0	100	240
20180103	1132	11	3	0013	1_B1	1T	125	356	1	0.00	0	3	3.00	2	300	0	1	100	0
20180103	1140	05	3	0013	1_B1	1T	134	431	1	0.00	0	4	11.50	5	1150	0	1	100	0
20180103	1409	22	8	0013	1_B1	1T	133	243	1	0.00	0	2	6.19	3	620	0	1	100	0
20180103	1432	11	9	0013	1_B1	1T	124	213	1	0.00	0	2	2.20	1	220	0	1	100	0
20180103	1149	02	3	0013	1_B1	1T	126	235	1	0.00	0	2	3.70	2	370	0	1	100	0
