description	bettype	bet_kumiban	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt
0023	1T	1	63793	37580	6379300	5877590	-501710	0.59	0.92	11290	10402	-888
0023	1T	2	7588	2870	758800	688750	-70050	0.38	0.91	1343	1219	-124
0023	2F	12	34251	11496	3425100	2900190	-524910	0.34	0.85	6062	5133	-929
0023	2F	13	16121	5024	1612100	1293130	-318970	0.31	0.80	2853	2288	-565
0023	2F	14	8036	2281	803600	614770	-188830	0.28	0.77	1422	1088	-334
0023	2F	15	2177	482	217700	178470	-39230	0.22	0.82	385	315	-70
0023	2F	16	1565	303	156500	132960	-23540	0.19	0.85	276	235	-41
0023	2F	23	571	110	57100	41020	-16080	0.19	0.72	101	72	-29
0023	2F	24	478	92	47800	37220	-10580	0.19	0.78	84	65	-19
0023	2F	25	273	44	27300	18200	-9100	0.16	0.67	48	32	-16
0023	2F	26	428	60	42800	29220	-13580	0.14	0.68	75	51	-24
0023	2T	12	33873	8643	3387300	2762920	-624380	0.26	0.82	5995	4890	-1105
0023	2T	13	16121	3616	1612100	1242510	-369590	0.22	0.77	2853	2199	-654
0023	2T	14	8036	1644	803600	623340	-180260	0.20	0.78	1422	1103	-319
0023	2T	15	2177	340	217700	188140	-29560	0.16	0.86	385	332	-53
0023	2T	16	1565	215	156500	132060	-24440	0.14	0.84	276	233	-43
0023	2T	21	378	33	37800	23560	-14240	0.09	0.62	66	41	-25
0023	2T	23	571	62	57100	38260	-18840	0.11	0.67	101	67	-34
0023	2T	24	478	62	47800	43010	-4790	0.13	0.90	84	76	-8
0023	2T	25	273	27	27300	20450	-6850	0.10	0.75	48	36	-12
0023	2T	26	428	27	42800	19500	-23300	0.06	0.46	75	34	-41
0023	3F	123	7077	1939	707700	572450	-135250	0.27	0.81	1252	1013	-239
0023	3F	124	13820	2922	1382000	1012190	-369810	0.21	0.73	2446	1791	-655
0023	3F	125	6880	1226	688000	557310	-130690	0.18	0.81	1217	986	-231
0023	3F	126	4955	724	495500	412940	-82560	0.15	0.83	876	730	-146
0023	3F	134	4935	1098	493500	366280	-127220	0.22	0.74	873	648	-225
0023	3F	135	4270	783	427000	307890	-119110	0.18	0.72	755	544	-211
0023	3F	136	2705	412	270500	201680	-68820	0.15	0.75	478	356	-122
0023	3F	145	1451	251	145100	104760	-40340	0.17	0.72	256	185	-71
0023	3F	146	1062	147	106200	92090	-14110	0.14	0.87	187	162	-25
0023	3F	156	431	66	43100	36310	-6790	0.15	0.84	76	64	-12
0023	3F	234	123	19	12300	6160	-6140	0.15	0.50	21	10	-11
0023	3F	235	190	27	19000	11640	-7360	0.14	0.61	33	20	-13
0023	3F	236	176	22	17600	13600	-4000	0.13	0.77	31	24	-7
0023	3F	245	122	18	12200	7300	-4900	0.15	0.60	21	12	-9
0023	3F	246	133	21	13300	13090	-210	0.16	0.98	23	23	0
0023	3F	256	63	9	6300	3830	-2470	0.14	0.61	11	6	-5
0023	3T	123	6942	875	694200	598280	-95920	0.13	0.86	1228	1058	-170
0023	3T	124	13690	1234	1369000	989920	-379080	0.09	0.72	2423	1752	-671
0023	3T	125	6763	522	676300	584550	-91750	0.08	0.86	1196	1034	-162
0023	3T	126	4777	274	477700	420370	-57330	0.06	0.88	845	744	-101
