iter	Passed	Remaining
0	2221	219964
1	4718	231221
2	7121	230274
3	9759	234226
4	12451	236587
5	14596	228672
6	17236	228998
7	19479	224018
8	21630	218704
9	23741	213670
10	25915	209683
11	27972	205129
12	30474	203943
13	32939	202340
14	35057	198656
15	37475	196748
16	39591	193298
17	42059	191602
18	44496	189695
19	46610	186442
20	48697	183193
21	51257	181732
22	53814	180161
23	56290	178252
24	58436	175308
25	60564	172377
26	62702	169529
27	64801	166631
28	67245	164636
29	69709	162654
30	72106	160495
31	74628	158585
32	77177	156693
33	79873	155047
34	81900	152101
35	83730	148854
36	85957	146359
37	87883	143388
38	89944	140682
39	91813	137719
40	93870	135081
41	96225	132882
42	98721	130863
43	100829	128328
44	102923	125795
45	105377	123704
46	107722	121474
47	110126	119304
48	112528	117121
49	114594	114594
50	116656	112081
51	119041	109884
52	121141	107427
53	123676	105354
54	125768	102901
55	128271	100784
56	130723	98616
57	132860	96209
58	135216	93963
59	137244	91496
60	139627	89269
61	141724	86863
62	144072	84613
63	146116	82190
64	148541	79983
65	150611	77587
66	152656	75189
67	155070	72974
68	157521	70770
69	159938	68545
70	161978	66160
71	164338	63909
72	166460	61567
73	168875	59334
74	171261	57087
75	173738	54864
76	175917	52546
77	177938	50187
78	180383	47950
79	182491	45622
80	184820	43352
81	187296	41113
82	189715	38857
83	192237	36616
84	194277	34284
85	196317	31958
86	198425	29649
87	200799	27381
88	203071	25098
89	205502	22833
90	207879	20559
91	210233	18281
92	212600	16002
93	214917	13718
94	217337	11438
95	219709	9154
96	222103	6869
97	224515	4581
98	226534	2288
99	228833	0
