2F,122,12,15,314,31400,30,39880,0.10,1.27,0.13,
2F,122,3,12,453,45300,174,45640,0.38,1.01,0.38,
2F,122,5,14,487,48700,65,52110,0.13,1.07,0.14,
2F,124,11,24,63,6300,8,6660,0.13,1.06,0.14,
2F,124,11,13,63,6300,9,8400,0.14,1.33,0.19,
2F,124,2,13,63,6300,10,8910,0.16,1.41,0.23,
2F,124,2,12,63,6300,24,6820,0.38,1.08,0.41,
2F,124,3,24,59,5900,7,6430,0.12,1.09,0.13,
2F,124,3,13,59,5900,7,6590,0.12,1.12,0.13,
2F,124,3,12,59,5900,19,5950,0.32,1.01,0.32,
2F,125,3,13,242,24200,29,24950,0.12,1.03,0.12,
2F,125,4,15,190,19000,23,19830,0.12,1.04,0.12,
2F,125,4,14,190,19000,19,20520,0.10,1.08,0.11,
2F,125,4,13,190,19000,25,19730,0.13,1.04,0.14,
2F,125,5,13,194,19400,25,19900,0.13,1.03,0.13,
2F,125,8,13,136,13600,17,17730,0.13,1.30,0.17,
2F,125,8,12,136,13600,54,14660,0.40,1.08,0.43,
2F,126,10,56,62,6200,6,14350,0.10,2.31,0.23,
2F,126,10,12,62,6200,22,8190,0.35,1.32,0.46,
2F,126,2,13,55,5500,6,7210,0.11,1.31,0.14,
2F,126,3,16,70,7000,18,10120,0.26,1.45,0.38,
2F,126,3,13,70,7000,10,8960,0.14,1.28,0.18,
2F,126,4,12,91,9100,25,10450,0.27,1.15,0.31,
2F,126,5,12,60,6000,18,6940,0.30,1.16,0.35,
2F,126,6,16,67,6700,10,7680,0.15,1.15,0.17,
2F,126,7,23,56,5600,6,9180,0.11,1.64,0.18,
2F,126,7,16,56,5600,14,8300,0.25,1.48,0.37,
2F,132,1,23,52,5200,9,5840,0.17,1.12,0.19,
2F,132,1,13,52,5200,18,7140,0.35,1.37,0.48,
2F,132,2,13,78,7800,18,7940,0.23,1.02,0.23,
2F,132,2,12,78,7800,25,9310,0.32,1.19,0.38,
2F,133,1,34,219,21900,21,23080,0.10,1.05,0.11,
2F,133,1,12,219,21900,41,24780,0.19,1.13,0.21,
2F,133,10,14,372,37200,41,38190,0.11,1.03,0.11,
2F,133,11,23,323,32300,35,33800,0.11,1.05,0.12,
2F,133,12,15,218,21800,22,28950,0.10,1.33,0.13,
2F,133,2,12,339,33900,66,39470,0.19,1.16,0.22,
2F,133,3,12,370,37000,64,39510,0.17,1.07,0.18,
2F,133,6,14,294,29400,36,32420,0.12,1.10,0.13,
2F,133,6,12,294,29400,59,32560,0.20,1.11,0.22,
2F,133,9,14,270,27000,28,35770,0.10,1.32,0.13,
2F,134,2,23,60,6000,7,7800,0.12,1.30,0.16,
2F,135,1,35,151,15100,19,15560,0.13,1.03,0.13,
2F,135,10,14,213,21300,23,26970,0.11,1.27,0.14,
2F,135,12,15,102,10200,23,18530,0.23,1.82,0.42,
2F,135,2,23,197,19700,23,21910,0.12,1.11,0.13,
2F,135,2,14,197,19700,21,25110,0.11,1.27,0.14,
2F,135,4,23,203,20300,24,30790,0.12,1.52,0.18,
2F,135,5,15,207,20700,38,23100,0.18,1.12,0.20,
2F,135,8,13,120,12000,32,12700,0.27,1.06,0.29,
2F,135,9,15,164,16400,28,17020,0.17,1.04,0.18,
2F,135,9,12,164,16400,24,19860,0.15,1.21,0.18,
2F,136,3,16,72,7200,12,10100,0.17,1.40,0.24,
2F,136,4,56,70,7000,8,13460,0.11,1.92,0.21,
2F,136,6,13,58,5800,16,5890,0.28,1.02,0.29,
2F,136,6,12,58,5800,9,7900,0.16,1.36,0.22,
2F,142,10,46,50,5000,5,13920,0.10,2.78,0.28,
2F,142,2,23,85,8500,12,15010,0.14,1.77,0.25,
2F,142,2,12,85,8500,24,9090,0.28,1.07,0.30,
2F,142,3,45,58,5800,8,8220,0.14,1.42,0.20,
2F,144,1,13,421,42100,63,43070,0.15,1.02,0.15,
2F,144,12,24,623,62300,61,69590,0.10,1.12,0.11,
2F,144,3,13,606,60600,71,62110,0.12,1.02,0.12,
2F,144,3,12,606,60600,117,62500,0.19,1.03,0.20,
2F,144,9,13,705,70500,99,78810,0.14,1.12,0.16,
2F,144,9,12,705,70500,161,75590,0.23,1.07,0.25,
2F,145,1,15,76,7600,12,7870,0.16,1.04,0.17,
2F,145,10,13,88,8800,14,13110,0.16,1.49,0.24,
2F,145,11,34,73,7300,8,12770,0.11,1.75,0.19,
2F,145,11,13,73,7300,15,9420,0.21,1.29,0.27,
2F,145,2,45,99,9900,14,10980,0.14,1.11,0.16,
2F,145,2,15,99,9900,12,10110,0.12,1.02,0.12,
2F,145,3,45,123,12300,23,13810,0.19,1.12,0.21,
2F,145,4,45,98,9800,14,13040,0.14,1.33,0.19,
2F,145,4,14,98,9800,23,10370,0.23,1.06,0.24,
2F,145,6,34,77,7700,8,10360,0.10,1.35,0.14,
2F,145,6,13,77,7700,9,9590,0.12,1.25,0.15,
2F,145,6,12,77,7700,12,9710,0.16,1.26,0.20,
2F,145,7,15,71,7100,14,10740,0.20,1.51,0.30,
2F,145,9,14,72,7200,22,7930,0.31,1.10,0.34,
2F,155,10,14,663,66300,72,75380,0.11,1.14,0.13,
2F,155,4,13,522,52200,76,53580,0.15,1.03,0.15,
2F,155,8,12,525,52500,102,62060,0.19,1.18,0.22,
2F,155,9,12,532,53200,105,55000,0.20,1.03,0.21,
2F,161,1,15,779,77900,83,94410,0.11,1.21,0.13,
2F,161,5,14,561,56100,65,64120,0.12,1.14,0.14,
2F,166,1,56,76,7600,8,9070,0.11,1.19,0.13,
2F,166,10,23,114,11400,11,26230,0.10,2.30,0.23,
2F,166,11,46,91,9100,10,13160,0.11,1.45,0.16,
2F,166,11,26,91,9100,10,10710,0.11,1.18,0.13,
2F,166,2,26,144,14400,18,19840,0.13,1.38,0.18,
2F,166,3,12,218,21800,37,23470,0.17,1.08,0.18,
2F,166,6,13,249,24900,34,31700,0.14,1.27,0.18,
2F,166,7,16,211,21100,60,21860,0.28,1.04,0.29,
2F,166,7,12,211,21100,34,24860,0.16,1.18,0.19,
2F,211,10,13,70,7000,8,7040,0.11,1.01,0.11,
2F,211,2,24,136,13600,13,14550,0.10,1.07,0.11,
2F,211,2,12,136,13600,59,15110,0.43,1.11,0.48,
2F,211,4,24,106,10600,14,13410,0.13,1.27,0.17,
2F,211,6,12,103,10300,50,12040,0.49,1.17,0.57,
2F,211,7,23,147,14700,21,16210,0.14,1.10,0.15,
2F,211,9,24,84,8400,10,8600,0.12,1.02,0.12,
2F,215,11,13,50,5000,6,6280,0.12,1.26,0.15,
2F,215,2,35,109,10900,11,16090,0.10,1.48,0.15,
2F,215,3,12,135,13500,44,16620,0.33,1.23,0.41,
2F,215,4,13,134,13400,14,17100,0.10,1.28,0.13,
2F,215,5,25,135,13500,24,13850,0.18,1.03,0.19,
2F,215,6,13,142,14200,17,18770,0.12,1.32,0.16,
2F,215,7,25,122,12200,22,12550,0.18,1.03,0.19,
2F,215,8,15,110,11000,14,13240,0.13,1.20,0.16,
2F,216,4,56,61,6100,6,16130,0.10,2.64,0.26,
2F,216,4,13,61,6100,9,8510,0.15,1.40,0.21,
2F,216,6,16,57,5700,7,6210,0.12,1.09,0.13,
2F,232,10,13,197,19700,24,26470,0.12,1.34,0.16,
2F,232,10,12,197,19700,38,20370,0.19,1.03,0.20,
2F,232,11,12,112,11200,26,11470,0.23,1.02,0.23,
2F,232,6,24,734,73400,86,79880,0.12,1.09,0.13,
2F,233,2,34,72,7200,7,11080,0.10,1.54,0.15,
2F,233,2,23,72,7200,26,9250,0.36,1.28,0.46,
2F,233,5,12,64,6400,15,6570,0.23,1.03,0.24,
2F,233,6,12,61,6100,16,7700,0.26,1.26,0.33,
