2F,121,0,15,220,22000,23,22510,0.10,1.02,0.10,
2F,122,1,13,830,83000,95,84790,0.11,1.02,0.11,
2F,125,6,15,559,55900,76,60550,0.14,1.08,0.15,
2F,131,0,15,248,24800,27,34910,0.11,1.41,0.16,
2F,133,1,14,629,62900,65,65250,0.10,1.04,0.10,
2F,133,5,12,321,32100,59,35130,0.18,1.09,0.20,
2F,133,6,12,625,62500,127,67610,0.20,1.08,0.22,
2F,135,1,35,342,34200,40,36080,0.12,1.05,0.13,
2F,135,3,23,459,45900,48,57810,0.10,1.26,0.13,
2F,135,4,15,280,28000,52,30170,0.19,1.08,0.21,
2F,135,5,14,228,22800,23,25360,0.10,1.11,0.11,
2F,135,6,15,423,42300,60,42910,0.14,1.01,0.14,
2F,166,1,13,313,31300,33,33060,0.11,1.06,0.12,
2F,166,3,26,400,40000,40,41240,0.10,1.03,0.10,
2F,166,3,12,400,40000,64,40930,0.16,1.02,0.16,
2F,215,3,15,256,25600,28,26260,0.11,1.03,0.11,
2F,232,6,12,690,69000,132,71370,0.19,1.03,0.20,
2F,242,1,23,1509,150900,229,153830,0.15,1.02,0.15,
2F,242,4,23,1281,128100,227,130880,0.18,1.02,0.18,
2F,244,1,23,214,21400,30,23220,0.14,1.09,0.15,
2F,252,4,12,407,40700,68,44450,0.17,1.09,0.19,
2F,255,1,24,208,20800,22,22410,0.11,1.08,0.12,
2F,255,1,12,208,20800,37,21280,0.18,1.02,0.18,
2F,262,3,24,378,37800,43,43850,0.11,1.16,0.13,
2F,311,2,23,628,62800,73,76950,0.12,1.23,0.15,
2F,311,4,23,440,44000,51,49800,0.12,1.13,0.14,
2F,311,4,12,440,44000,71,52830,0.16,1.20,0.19,
2F,315,2,12,236,23600,28,25000,0.12,1.06,0.13,
2F,315,3,12,277,27700,40,28690,0.14,1.04,0.15,
2F,322,3,24,249,24900,26,28260,0.10,1.13,0.11,
2F,343,1,23,1044,104400,142,105310,0.14,1.01,0.14,
2F,343,5,36,306,30600,30,36800,0.10,1.20,0.12,
2F,343,5,23,306,30600,46,34840,0.15,1.14,0.17,
2F,344,1,14,215,21500,27,21910,0.13,1.02,0.13,
2F,353,1,23,297,29700,40,30240,0.13,1.02,0.13,
2F,353,4,34,223,22300,31,22750,0.14,1.02,0.14,
2F,355,2,15,212,21200,22,22480,0.10,1.06,0.11,
2F,355,3,23,287,28700,40,31570,0.14,1.10,0.15,
2F,363,2,23,245,24500,40,38500,0.16,1.57,0.25,
2F,411,2,12,426,42600,69,45490,0.16,1.07,0.17,
2F,422,1,23,252,25200,32,29260,0.13,1.16,0.15,
2F,422,2,23,202,20200,20,23810,0.10,1.18,0.12,
2F,434,2,24,682,68200,86,69850,0.13,1.02,0.13,
2F,434,3,23,1054,105400,110,110430,0.10,1.05,0.11,
2F,434,4,23,907,90700,108,99510,0.12,1.10,0.13,
2F,434,5,23,494,49400,50,51910,0.10,1.05,0.11,
2F,515,1,45,826,82600,98,85700,0.12,1.04,0.12,
2F,515,4,12,572,57200,60,60660,0.10,1.06,0.11,
2F,515,6,12,683,68300,97,75060,0.14,1.10,0.15,
2F,525,3,23,629,62900,60,69840,0.10,1.11,0.11,
2F,525,4,12,332,33200,41,35660,0.12,1.07,0.13,
2F,535,1,45,312,31200,31,36690,0.10,1.18,0.12,
2F,535,1,23,312,31200,36,45910,0.12,1.47,0.18,
2F,535,2,13,458,45800,54,47540,0.12,1.04,0.12,
2F,535,4,23,255,25500,29,26520,0.11,1.04,0.11,
2F,616,4,56,247,24700,27,26780,0.11,1.08,0.12,
2F,626,1,16,256,25600,37,26580,0.14,1.04,0.15,
2F,636,1,13,267,26700,28,28690,0.10,1.07,0.11,
2F,636,2,46,441,44100,58,57100,0.13,1.29,0.17,
