2F,126,126,16,657,65700,103,67210,0.16,1.02,0.16,
2F,214,214,23,291,29100,32,39080,0.11,1.34,0.15,
2F,214,214,13,291,29100,29,31260,0.10,1.07,0.11,
2F,216,216,16,401,40100,56,48770,0.14,1.22,0.17,
2F,235,235,12,399,39900,68,41310,0.17,1.04,0.18,
2F,316,316,12,325,32500,35,33250,0.11,1.02,0.11,
2F,325,325,12,466,46600,68,50610,0.15,1.09,0.16,
2F,366,366,16,416,41600,49,44970,0.12,1.08,0.13,
2F,412,412,13,380,38000,39,39520,0.10,1.04,0.10,
2F,433,433,13,601,60100,97,64990,0.16,1.08,0.17,
2F,464,464,34,442,44200,50,51110,0.11,1.16,0.13,
2F,535,535,23,1913,191300,183,219430,0.10,1.15,0.12,
